,Country_Name,Country_Code,Year,Region,Income_Group,Indicator_Name,Value
102,India,IND,2003,South Asia,Lower middle income,Net Energy Use,471612984999.99994
103,Japan,JPN,2009,East Asia & Pacific,High income,Net Energy Use,471022315000.00037
104,Japan,JPN,2011,East Asia & Pacific,High income,Net Energy Use,461580951999.99945
105,India,IND,2002,South Asia,Lower middle income,Net Energy Use,460582267999.99976
106,Japan,JPN,1993,East Asia & Pacific,High income,Net Energy Use,456370684999.9997
107,Japan,JPN,2013,East Asia & Pacific,High income,Net Energy Use,454676522999.9999
108,Japan,JPN,1992,East Asia & Pacific,High income,Net Energy Use,453428933000.00006
109,Japan,JPN,2012,East Asia & Pacific,High income,Net Energy Use,451470123999.9996
110,India,IND,2001,South Asia,Lower middle income,Net Energy Use,447215563000.00037
111,Japan,JPN,1991,East Asia & Pacific,High income,Net Energy Use,443048071000.00024
112,Japan,JPN,2014,East Asia & Pacific,High income,Net Energy Use,441744847999.99963
113,India,IND,2000,South Asia,Lower middle income,Net Energy Use,440895862999.99963
114,Japan,JPN,1990,East Asia & Pacific,High income,Net Energy Use,438699872000.0005
115,India,IND,1999,South Asia,Lower middle income,Net Energy Use,430755198999.9997
116,India,IND,1998,South Asia,Lower middle income,Net Energy Use,407282499000.00024
117,India,IND,1997,South Asia,Lower middle income,Net Energy Use,397735837000.0
118,India,IND,1996,South Asia,Lower middle income,Net Energy Use,382559075999.99963
119,India,IND,1995,South Asia,Lower middle income,Net Energy Use,371198738999.9996
120,Germany,DEU,1990,Europe & Central Asia,High income,Net Energy Use,351202376999.9997
121,India,IND,1994,South Asia,Lower middle income,Net Energy Use,351031903000.0003
122,Germany,DEU,1996,Europe & Central Asia,High income,Net Energy Use,347855686999.99963
123,Germany,DEU,2001,Europe & Central Asia,High income,Net Energy Use,346676392000.00037
124,Germany,DEU,2006,Europe & Central Asia,High income,Net Energy Use,346364530999.9996
125,Germany,DEU,1997,Europe & Central Asia,High income,Net Energy Use,344821458999.99963
126,Germany,DEU,1991,Europe & Central Asia,High income,Net Energy Use,344291087000.0
127,Germany,DEU,1998,Europe & Central Asia,High income,Net Energy Use,342735265999.99963
128,Germany,DEU,2004,Europe & Central Asia,High income,Net Energy Use,339504069000.0002
129,Germany,DEU,2002,Europe & Central Asia,High income,Net Energy Use,338895839999.99976
130,India,IND,1993,South Asia,Lower middle income,Net Energy Use,338052155999.9995
131,Germany,DEU,1992,Europe & Central Asia,High income,Net Energy Use,337896418000.0
132,Germany,DEU,2003,Europe & Central Asia,High income,Net Energy Use,337111117999.9998
133,Germany,DEU,2005,Europe & Central Asia,High income,Net Energy Use,337011574000.0002
134,Germany,DEU,2000,Europe & Central Asia,High income,Net Energy Use,336578875999.99994
135,Germany,DEU,1995,Europe & Central Asia,High income,Net Energy Use,336488164000.0001
136,Germany,DEU,1999,Europe & Central Asia,High income,Net Energy Use,334963519000.0
137,Germany,DEU,1993,Europe & Central Asia,High income,Net Energy Use,334582991999.9998
138,Germany,DEU,1994,Europe & Central Asia,High income,Net Energy Use,332984965000.0003
139,Germany,DEU,2008,Europe & Central Asia,High income,Net Energy Use,331464566999.9998
140,India,IND,1992,South Asia,Lower middle income,Net Energy Use,330149687000.00037
141,Germany,DEU,2007,Europe & Central Asia,High income,Net Energy Use,327898288999.99976
142,Germany,DEU,2010,Europe & Central Asia,High income,Net Energy Use,326868884000.0003
143,India,IND,1991,South Asia,Lower middle income,Net Energy Use,318511418999.9997
144,Germany,DEU,2013,Europe & Central Asia,High income,Net Energy Use,317705745000.0003
145,Germany,DEU,2012,Europe & Central Asia,High income,Net Energy Use,311806741999.99976
146,Germany,DEU,2011,Europe & Central Asia,High income,Net Energy Use,310649431999.99963
147,Germany,DEU,2009,Europe & Central Asia,High income,Net Energy Use,310450789000.0001
148,Germany,DEU,2014,Europe & Central Asia,High income,Net Energy Use,306070275000.0004
149,India,IND,1990,South Asia,Lower middle income,Net Energy Use,305713366000.0
150,Brazil,BRA,2014,Latin America & Caribbean,Upper middle income,Net Energy Use,303241520999.99963
151,Brazil,BRA,2013,Latin America & Caribbean,Upper middle income,Net Energy Use,293728889999.9998
152,Brazil,BRA,2012,Latin America & Caribbean,Upper middle income,Net Energy Use,281739097999.9996
153,Canada,CAN,2014,North America,High income,Net Energy Use,279879745000.0002
154,Canada,CAN,2008,North America,High income,Net Energy Use,272456168000.00006
155,Canada,CAN,2011,North America,High income,Net Energy Use,271677468000.00012
156,Canada,CAN,2013,North America,High income,Net Energy Use,271672773999.99982
157,Canada,CAN,2005,North America,High income,Net Energy Use,271557993999.99982
158,France,FRA,2005,Europe & Central Asia,High income,Net Energy Use,270859822999.99994
159,Canada,CAN,2007,North America,High income,Net Energy Use,270130373999.99997
160,Canada,CAN,2004,North America,High income,Net Energy Use,270075710000.0
161,Brazil,BRA,2011,Latin America & Caribbean,Upper middle income,Net Energy Use,270039519999.99957
162,France,FRA,2004,Europe & Central Asia,High income,Net Energy Use,269739980999.9998
163,Canada,CAN,2012,North America,High income,Net Energy Use,268459369000.00012
164,"Korea, Rep.",KOR,2014,East Asia & Pacific,High income,Net Energy Use,268413077000.0001
165,Canada,CAN,2006,North America,High income,Net Energy Use,268384727000.00015
166,France,FRA,2006,Europe & Central Asia,High income,Net Energy Use,266499971999.99973
167,Brazil,BRA,2010,Latin America & Caribbean,Upper middle income,Net Energy Use,265877445999.99963
168,France,FRA,2003,Europe & Central Asia,High income,Net Energy Use,265844762000.00024
169,Canada,CAN,2010,North America,High income,Net Energy Use,264849145000.00018
170,France,FRA,2008,Europe & Central Asia,High income,Net Energy Use,264618885999.99988
171,Canada,CAN,2003,North America,High income,Net Energy Use,263953696000.00006
172,"Korea, Rep.",KOR,2013,East Asia & Pacific,High income,Net Energy Use,263827601999.99982
173,"Korea, Rep.",KOR,2012,East Asia & Pacific,High income,Net Energy Use,263474926999.99985
174,France,FRA,2007,Europe & Central Asia,High income,Net Energy Use,263460525999.99988
175,Canada,CAN,2009,North America,High income,Net Energy Use,262208568000.0001
176,France,FRA,2010,Europe & Central Asia,High income,Net Energy Use,261205607999.99976
177,France,FRA,2002,Europe & Central Asia,High income,Net Energy Use,261156175999.9998
178,France,FRA,2001,Europe & Central Asia,High income,Net Energy Use,260523950999.99976
179,"Korea, Rep.",KOR,2011,East Asia & Pacific,High income,Net Energy Use,260498856999.99994
180,Canada,CAN,2000,North America,High income,Net Energy Use,253620011000.0
181,France,FRA,2009,Europe & Central Asia,High income,Net Energy Use,253228260000.00015
182,France,FRA,2013,Europe & Central Asia,High income,Net Energy Use,253008220000.00012
183,Ukraine,UKR,1991,Europe & Central Asia,Lower middle income,Net Energy Use,252332436000.00015
184,Ukraine,UKR,1990,Europe & Central Asia,Lower middle income,Net Energy Use,252017952999.99997
185,France,FRA,2012,Europe & Central Asia,High income,Net Energy Use,251914138999.99982
186,France,FRA,2000,Europe & Central Asia,High income,Net Energy Use,251902282000.00012
187,France,FRA,2011,Europe & Central Asia,High income,Net Energy Use,251378427000.0002
188,Canada,CAN,2002,North America,High income,Net Energy Use,250688688999.9999
189,France,FRA,1996,Europe & Central Asia,High income,Net Energy Use,250480444000.00018
190,"Korea, Rep.",KOR,2010,East Asia & Pacific,High income,Net Energy Use,250024665000.00006
191,Canada,CAN,2001,North America,High income,Net Energy Use,249915226000.00003
192,France,FRA,1998,Europe & Central Asia,High income,Net Energy Use,249871029999.9999
193,France,FRA,1999,Europe & Central Asia,High income,Net Energy Use,249459805999.99994
194,Brazil,BRA,2008,Latin America & Caribbean,Upper middle income,Net Energy Use,248579623000.00012
195,Canada,CAN,1999,North America,High income,Net Energy Use,246478887000.00015
196,France,FRA,1997,Europe & Central Asia,High income,Net Energy Use,242811623999.99994
197,France,FRA,2014,Europe & Central Asia,High income,Net Energy Use,242641675000.00012
198,Canada,CAN,1997,North America,High income,Net Energy Use,240929603000.0001
199,Brazil,BRA,2009,Latin America & Caribbean,Upper middle income,Net Energy Use,240453643000.0
200,Canada,CAN,1998,North America,High income,Net Energy Use,239685295000.00015
201,Canada,CAN,1996,North America,High income,Net Energy Use,238464554000.00003
202,"Iran, Islamic Rep.",IRN,2014,Middle East & North Africa,Lower middle income,Net Energy Use,237075187000.00027
203,France,FRA,1995,Europe & Central Asia,High income,Net Energy Use,237057289000.00015
204,France,FRA,1991,Europe & Central Asia,High income,Net Energy Use,236761093000.0001
205,France,FRA,1993,Europe & Central Asia,High income,Net Energy Use,236539464999.99976
206,Brazil,BRA,2007,Latin America & Caribbean,Upper middle income,Net Energy Use,235459753999.99963
207,Canada,CAN,1995,North America,High income,Net Energy Use,233829466000.00003
208,France,FRA,1992,Europe & Central Asia,High income,Net Energy Use,232697899999.99994
209,Canada,CAN,1994,North America,High income,Net Energy Use,230765399000.0
210,"Korea, Rep.",KOR,2009,East Asia & Pacific,High income,Net Energy Use,229269882000.00003
211,France,FRA,1994,Europe & Central Asia,High income,Net Energy Use,227585773999.99988
212,"Korea, Rep.",KOR,2008,East Asia & Pacific,High income,Net Energy Use,227112403999.99988
213,United Kingdom,GBR,1996,Europe & Central Asia,High income,Net Energy Use,225677458000.00018
214,Indonesia,IDN,2014,East Asia & Pacific,Lower middle income,Net Energy Use,225513194000.0001
215,France,FRA,1990,Europe & Central Asia,High income,Net Energy Use,224010975999.9998
216,United Kingdom,GBR,2001,Europe & Central Asia,High income,Net Energy Use,223763715999.9999
217,United Kingdom,GBR,2000,Europe & Central Asia,High income,Net Energy Use,222952518999.9998
218,Canada,CAN,1993,North America,High income,Net Energy Use,222896291000.00003
219,Brazil,BRA,2006,Latin America & Caribbean,Upper middle income,Net Energy Use,222817452999.9997
220,United Kingdom,GBR,2005,Europe & Central Asia,High income,Net Energy Use,222660584000.0002
221,United Kingdom,GBR,2003,Europe & Central Asia,High income,Net Energy Use,222581478000.00006
222,"Korea, Rep.",KOR,2007,East Asia & Pacific,High income,Net Energy Use,222240215000.00006
223,United Kingdom,GBR,1999,Europe & Central Asia,High income,Net Energy Use,222058798999.99988
224,United Kingdom,GBR,2004,Europe & Central Asia,High income,Net Energy Use,221624030999.99994
225,United Kingdom,GBR,1998,Europe & Central Asia,High income,Net Energy Use,221497145999.99982
226,"Iran, Islamic Rep.",IRN,2013,Middle East & North Africa,Lower middle income,Net Energy Use,220964743999.99997
227,Ukraine,UKR,1992,Europe & Central Asia,Lower middle income,Net Energy Use,219532886999.9998
228,United Kingdom,GBR,1997,Europe & Central Asia,High income,Net Energy Use,219313290000.00018
229,United Kingdom,GBR,2006,Europe & Central Asia,High income,Net Energy Use,218976169000.0
230,United Kingdom,GBR,2002,Europe & Central Asia,High income,Net Energy Use,218831836999.99994
231,Indonesia,IDN,2013,East Asia & Pacific,Lower middle income,Net Energy Use,217514808999.99988
232,"Iran, Islamic Rep.",IRN,2012,Middle East & North Africa,Lower middle income,Net Energy Use,216749038000.00003
233,United Kingdom,GBR,1995,Europe & Central Asia,High income,Net Energy Use,216350824999.9998
234,United Kingdom,GBR,1994,Europe & Central Asia,High income,Net Energy Use,215985115000.0
235,Canada,CAN,1992,North America,High income,Net Energy Use,215669417000.0001
236,Brazil,BRA,2005,Latin America & Caribbean,Upper middle income,Net Energy Use,215331854000.00027
237,United Kingdom,GBR,1993,Europe & Central Asia,High income,Net Energy Use,214319939000.00003
238,"Korea, Rep.",KOR,2006,East Asia & Pacific,High income,Net Energy Use,213735277000.00012
239,United Kingdom,GBR,1991,Europe & Central Asia,High income,Net Energy Use,212928760000.00012
240,United Kingdom,GBR,1992,Europe & Central Asia,High income,Net Energy Use,212167919999.99982
241,Indonesia,IDN,2010,East Asia & Pacific,Lower middle income,Net Energy Use,212106901999.9999
242,Indonesia,IDN,2012,East Asia & Pacific,Lower middle income,Net Energy Use,211981671999.99988
243,Canada,CAN,1990,North America,High income,Net Energy Use,211285938999.99994
244,United Kingdom,GBR,2007,Europe & Central Asia,High income,Net Energy Use,211049855000.00012
245,Canada,CAN,1991,North America,High income,Net Energy Use,210766547000.00006
246,"Korea, Rep.",KOR,2005,East Asia & Pacific,High income,Net Energy Use,210287980999.99994
247,Brazil,BRA,2004,Latin America & Caribbean,Upper middle income,Net Energy Use,210041759999.9994
248,"Korea, Rep.",KOR,2004,East Asia & Pacific,High income,Net Energy Use,208325579000.0001
249,"Iran, Islamic Rep.",IRN,2011,Middle East & North Africa,Lower middle income,Net Energy Use,208314207000.00006
250,United Kingdom,GBR,2008,Europe & Central Asia,High income,Net Energy Use,207793912999.99982
251,United Kingdom,GBR,1990,Europe & Central Asia,High income,Net Energy Use,205922521999.99985
252,"Iran, Islamic Rep.",IRN,2008,Middle East & North Africa,Lower middle income,Net Energy Use,204619466000.0
253,Indonesia,IDN,2011,East Asia & Pacific,Lower middle income,Net Energy Use,204319561999.99994
254,"Iran, Islamic Rep.",IRN,2010,Middle East & North Africa,Lower middle income,Net Energy Use,204282608999.99982
255,"Iran, Islamic Rep.",IRN,2009,Middle East & North Africa,Lower middle income,Net Energy Use,204227131999.99988
256,United Kingdom,GBR,2010,Europe & Central Asia,High income,Net Energy Use,202774021999.99976
257,"Korea, Rep.",KOR,2003,East Asia & Pacific,High income,Net Energy Use,202751571999.99997
258,Indonesia,IDN,2009,East Asia & Pacific,Lower middle income,Net Energy Use,201872331000.00006
259,Brazil,BRA,2003,Latin America & Caribbean,Upper middle income,Net Energy Use,198976523999.9992
260,"Korea, Rep.",KOR,2002,East Asia & Pacific,High income,Net Energy Use,198701235000.00003
261,United Kingdom,GBR,2009,Europe & Central Asia,High income,Net Energy Use,195895341999.9997
262,Brazil,BRA,2002,Latin America & Caribbean,Upper middle income,Net Energy Use,195758711000.0003
263,Ukraine,UKR,1993,Europe & Central Asia,Lower middle income,Net Energy Use,194554515999.99985
264,United Kingdom,GBR,2012,Europe & Central Asia,High income,Net Energy Use,193830827999.9999
265,Mexico,MEX,2013,Latin America & Caribbean,Upper middle income,Net Energy Use,192097604999.99973
266,Mexico,MEX,2012,Latin America & Caribbean,Upper middle income,Net Energy Use,191707760000.00052
267,United Kingdom,GBR,2013,Europe & Central Asia,High income,Net Energy Use,191596078999.99988
268,"Korea, Rep.",KOR,2001,East Asia & Pacific,High income,Net Energy Use,191058981000.00003
269,"Iran, Islamic Rep.",IRN,2007,Middle East & North Africa,Lower middle income,Net Energy Use,190939180000.00012
270,Brazil,BRA,2001,Latin America & Caribbean,Upper middle income,Net Energy Use,190711766999.99942
271,"Korea, Rep.",KOR,2000,East Asia & Pacific,High income,Net Energy Use,188158016000.0
272,United Kingdom,GBR,2011,Europe & Central Asia,High income,Net Energy Use,188014866000.00012
273,Mexico,MEX,2014,Latin America & Caribbean,Upper middle income,Net Energy Use,187979480000.0005
274,Brazil,BRA,2000,Latin America & Caribbean,Upper middle income,Net Energy Use,187441584000.00006
275,Indonesia,IDN,2008,East Asia & Pacific,Lower middle income,Net Energy Use,186751076000.00003
276,Brazil,BRA,1999,Latin America & Caribbean,Upper middle income,Net Energy Use,186690737999.9995
277,Italy,ITA,2005,Europe & Central Asia,High income,Net Energy Use,186353000000.0001
278,Italy,ITA,2006,Europe & Central Asia,High income,Net Energy Use,184653640999.99997
279,Italy,ITA,2007,Europe & Central Asia,High income,Net Energy Use,184055931000.00003
280,Indonesia,IDN,2006,East Asia & Pacific,Lower middle income,Net Energy Use,183994546000.00006
281,Mexico,MEX,2011,Latin America & Caribbean,Upper middle income,Net Energy Use,183617045999.99945
282,Indonesia,IDN,2007,East Asia & Pacific,Lower middle income,Net Energy Use,183127782000.0
283,Italy,ITA,2004,Europe & Central Asia,High income,Net Energy Use,182858601000.00003
284,Mexico,MEX,2006,Latin America & Caribbean,Upper middle income,Net Energy Use,182700101000.0003
285,Brazil,BRA,1998,Latin America & Caribbean,Upper middle income,Net Energy Use,182552948000.00027
286,Italy,ITA,2008,Europe & Central Asia,High income,Net Energy Use,181631433999.9999
287,Italy,ITA,2003,Europe & Central Asia,High income,Net Energy Use,181598547000.00012
288,Mexico,MEX,2007,Latin America & Caribbean,Upper middle income,Net Energy Use,181507160000.00024
289,"Iran, Islamic Rep.",IRN,2006,Middle East & North Africa,Lower middle income,Net Energy Use,180462404000.00012
290,Mexico,MEX,2009,Latin America & Caribbean,Upper middle income,Net Energy Use,179887865000.00024
291,Indonesia,IDN,2005,East Asia & Pacific,Lower middle income,Net Energy Use,179766618000.0
292,Mexico,MEX,2008,Latin America & Caribbean,Upper middle income,Net Energy Use,179660918000.00052
293,United Kingdom,GBR,2014,Europe & Central Asia,High income,Net Energy Use,179420671999.9997
294,Mexico,MEX,2005,Latin America & Caribbean,Upper middle income,Net Energy Use,178629332999.99973
295,Brazil,BRA,1997,Latin America & Caribbean,Upper middle income,Net Energy Use,178276103000.00003
296,Indonesia,IDN,2004,East Asia & Pacific,Lower middle income,Net Energy Use,176639247000.00003
297,Mexico,MEX,2010,Latin America & Caribbean,Upper middle income,Net Energy Use,174762688000.00052
298,Italy,ITA,2010,Europe & Central Asia,High income,Net Energy Use,173717718000.00006
299,Italy,ITA,2002,Europe & Central Asia,High income,Net Energy Use,173303436999.99988
300,"Korea, Rep.",KOR,1999,East Asia & Pacific,High income,Net Energy Use,172887513000.0001
301,"Iran, Islamic Rep.",IRN,2005,Middle East & North Africa,Lower middle income,Net Energy Use,172667928999.9998
302,Italy,ITA,2001,Europe & Central Asia,High income,Net Energy Use,172097173999.9998
303,Italy,ITA,2000,Europe & Central Asia,High income,Net Energy Use,171520732999.99976
304,"Korea, Rep.",KOR,1997,East Asia & Pacific,High income,Net Energy Use,171230289000.00006
305,Brazil,BRA,1996,Latin America & Caribbean,Upper middle income,Net Energy Use,169663097000.00046
306,Italy,ITA,2009,Europe & Central Asia,High income,Net Energy Use,169599011999.99976
307,Italy,ITA,1999,Europe & Central Asia,High income,Net Energy Use,168319278000.00006
308,Italy,ITA,2011,Europe & Central Asia,High income,Net Energy Use,167949123999.9999
309,Mexico,MEX,2004,Latin America & Caribbean,Upper middle income,Net Energy Use,167136228999.99976
310,Ukraine,UKR,1994,Europe & Central Asia,Lower middle income,Net Energy Use,165770231999.99994
311,Italy,ITA,1998,Europe & Central Asia,High income,Net Energy Use,165766349999.99982
312,Indonesia,IDN,2003,East Asia & Pacific,Lower middle income,Net Energy Use,165697592000.00003
313,Mexico,MEX,2003,Latin America & Caribbean,Upper middle income,Net Energy Use,165335512000.00034
314,Indonesia,IDN,2002,East Asia & Pacific,Lower middle income,Net Energy Use,165228376999.99997
315,Ukraine,UKR,1995,Europe & Central Asia,Lower middle income,Net Energy Use,163696474000.0
316,Italy,ITA,2012,Europe & Central Asia,High income,Net Energy Use,161310819999.99973
317,Italy,ITA,1997,Europe & Central Asia,High income,Net Energy Use,161250238000.00027
318,Brazil,BRA,1995,Latin America & Caribbean,Upper middle income,Net Energy Use,161094730999.99997
319,Indonesia,IDN,2001,East Asia & Pacific,Lower middle income,Net Energy Use,159313288000.0
320,Italy,ITA,1995,Europe & Central Asia,High income,Net Energy Use,159128563999.9998
321,Italy,ITA,1996,Europe & Central Asia,High income,Net Energy Use,158990143999.9999
322,"Korea, Rep.",KOR,1996,East Asia & Pacific,High income,Net Energy Use,157281165000.0
